,Mode,ProgressType,Type,StateType,LoadingPosition,Plan,ShipmentType,EquipmentType,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,Concealed,Team,Private,Rolled,TankerContainer,TankerLiquid,TankerFood,TankerReefer,TankerHazMat,Hot,Liquor,TWIC,TMSPrivateCarrier,Govt,HRHV,Seal,OriginFacilityID,DestinationFacilityID,OriginCityID,GeneralOriginCityID,DestinationCityID,GeneralDestinationCityID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,TotalRateUSD,NormalizedRank,Normalized_EQ,BizUnit,BookType,BuildType,SalesStatus,IsCustomerHighPriority,IsCommodityStackable,CommodityID,TimeTravel,TimeNegotiate,LoadDate-Weekday,LoadDate-Month,LoadDate-Day,DelDate-Weekday,DelDate-Month,DelDate-Day,CreateDate-Weekday,CreateDate-Month,CreateDate-Day,MXCrossBorder,CACrossBorder,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841,TotalCostUSD
0,2,8,1,1,0,0,1,1167.910096153846,53,0,0,-9999,-9999,100.0,554,1044,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140324,1407464,17781,17781,2460,2460,39.541,-119.753,34.055,-117.652,402.46,1274.8449962365594,1286.4484196013289,1399.5416605670102,1375.6961381525407,938.3743616519242,1308.3057209302324,0,0,0,3,0,1141.523498944311,12,16,1446.114838926588,12,19,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,423.82
1,1,8,1,1,2,0,1,1167.910096153846,53,0,0,-9999,-9999,100000.0,525,7000,0,28298094,0,0,1,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011267,1079332,18469,18469,27011,27011,42.79,-77.517,36.982,-76.632,1656.8,1274.8449962365594,1286.4484196013289,1399.5416605670102,1519.4634615384616,1779.7798430493274,1308.3057209302324,0,0,0,1,4,1668.8504678300908,12,20,1294.1646087682607,12,21,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,1300.0
2,1,8,2,1,2,0,5,1164.2218057074615,48,0,0,-9999,-9999,20000.0,121,35000,11,0,0,0,1,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1197835,155271,53497,53497,53497,53497,23.6,-100.67,23.6,-100.67,809.86,1573.1394940476162,1419.668157694257,1399.5416605670102,1519.4634615384616,1779.7798430493274,730.8488475429045,0,0,0,1,3,1401.0065502312582,12,19,1273.2295865157516,12,20,1416.4212975796179,12,16,1,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,300.0
3,1,8,1,1,2,0,1,1167.910096153846,48,0,0,-9999,-9999,20000.0,93,40000,3,28292401,0,0,1,2,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1081288,389964,16879,16879,3465,1559242,40.318,-74.509,41.118,-73.418,1000.0,1573.1394940476162,1286.4484196013289,1399.5416605670102,1375.6961381525407,938.3743616519242,1308.3057209302324,0,0,0,0,0,1141.523498944311,12,16,1813.7385626183266,12,16,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,873.0
4,2,8,1,1,0,0,1,1167.910096153846,53,0,0,-9999,-9999,100.0,2260,225,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171291,1177280,24347,24347,2841,2841,35.735,-84.348,36.331,-119.312,314.68,1274.8449962365594,1286.4484196013289,1399.5416605670102,1375.6961381525407,938.3743616519242,1308.3057209302324,0,0,0,5,0,1141.523498944311,12,16,1294.1646087682607,12,21,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,267.48
5,2,8,1,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,308,140,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081135,950720,11647,11647,23125,23125,42.331,-83.042,40.172,-80.251,330.35,1416.538698091035,1286.4484196013289,1399.5416605670102,940.7893720846422,938.3743616519242,1308.3057209302324,0,1,0,4,-1,1314.1808751456006,12,15,1446.114838926588,12,19,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,264.28
6,2,8,1,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,1261,320,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081135,946576,11647,11647,2989,2989,42.331,-83.042,39.807,-104.934,419.9,1416.538698091035,1286.4484196013289,1399.5416605670102,940.7893720846422,938.3743616519242,1308.3057209302324,0,1,0,4,-1,1314.1808751456006,12,15,1446.114838926588,12,19,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,335.92
7,2,8,1,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,282,8100,0,0,0,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081135,488882,11647,11647,6302,6302,42.331,-83.042,41.874,-87.651,1954.85,1416.538698091035,1286.4484196013289,1399.5416605670102,940.7893720846422,938.3743616519242,1308.3057209302324,0,1,0,1,-1,1314.1808751456006,12,15,1813.7385626183266,12,16,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,1563.88
8,1,8,1,1,2,0,1,1167.910096153846,53,0,0,-9999,-9999,100000.0,2408,30000,0,28300112,0,0,1,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1418766,574470,1557741,1557741,1893,1893,32.114,-81.154,34.024,-117.96,4800.0,1274.8449962365594,1286.4484196013289,1399.5416605670102,1375.6961381525407,938.3743616519242,1308.3057209302324,0,0,0,4,3,1401.0065502312582,12,19,1813.7385626183266,12,23,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,3500.0
9,1,8,2,1,2,0,5,1164.2218057074615,48,0,0,-9999,-9999,20000.0,121,35000,11,0,0,0,1,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1197835,155271,53497,53497,53497,53497,23.6,-100.67,23.6,-100.67,809.86,1573.1394940476162,1419.668157694257,1399.5416605670102,1519.4634615384616,1779.7798430493274,730.8488475429045,0,0,0,1,3,1401.0065502312582,12,19,1273.2295865157516,12,20,1416.4212975796179,12,16,1,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,300.0
10,2,8,1,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,1428,318,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956314,1058334,26915,26915,13058,13058,36.837,-76.344,47.523,-92.537,834.2,1416.538698091035,1286.4484196013289,1399.5416605670102,940.7893720846422,938.3743616519242,1308.3057209302324,0,1,0,6,-1,1314.1808751456006,12,15,1294.1646087682607,12,21,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,667.36
11,2,8,1,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,2530,140,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956314,953926,26915,26915,5840,5840,36.837,-76.344,43.614,-116.204,326.48,1416.538698091035,1286.4484196013289,1399.5416605670102,940.7893720846422,938.3743616519242,1308.3057209302324,0,1,0,19,-1,1314.1808751456006,12,15,1273.2295865157516,1,3,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,261.19
12,1,8,1,1,2,0,1,1167.910096153846,53,0,0,-9999,-9999,100000.0,383,32000,0,28222280,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883714,131010,17745,17745,26240,26255,36.176,-115.16,40.297,-111.694,1909.6,1573.1394940476162,1286.4484196013289,1399.5416605670102,1519.4634615384616,1779.7798430493274,1308.3057209302324,0,0,0,1,5,1550.2283474552798,12,21,1427.422701513106,12,22,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,1800.0
13,1,8,1,1,0,0,1,2312.318837231877,53,0,0,0,0,100000.0,0,20000,3,28246326,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72130,72130,16869,16981,16869,16981,40.869,-74.162,40.869,-74.162,1475.0,1274.8449962365594,2312.318837231877,1399.5416605670102,1375.6961381525407,938.3743616519242,730.8488475429045,0,0,0,7,0,1141.523498944311,12,16,1813.7385626183266,12,23,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,1965.0
14,1,8,1,1,2,0,5,1167.910096153846,53,0,0,-9999,-9999,100000.0,1107,0,0,28195166,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1421372,304453,48100,48100,9889,9962,31.73,-106.48,30.381,-89.744,3525.43,1416.538698091035,1286.4484196013289,1399.5416605670102,1519.4634615384616,1779.7798430493274,1308.3057209302324,0,0,0,20,5,1550.2283474552798,12,21,1273.2295865157516,1,10,1416.4212975796179,12,16,1,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,2900.0
15,2,8,2,1,2,0,2,1167.910096153846,53,0,0,-9999,-9999,25000.0,1946,9052,0,0,0,0,1,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024391,13244,9093,9093,2542,2542,36.866,-87.489,34.055,-117.766,1476.18,1573.1394940476162,1286.4484196013289,1399.5416605670102,1519.4634615384616,1779.7798430493274,730.8488475429045,0,0,0,10,3,1401.0065502312582,12,19,1427.422701513106,12,29,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,1472.68
16,1,8,1,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,781,3978,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116346,253612,6287,7258,9907,9575,40.116,-88.243,30.454,-91.211,2378.02,1274.8449962365594,1286.4484196013289,1399.5416605670102,1519.4634615384616,1779.7798430493274,1308.3057209302324,0,0,0,2,1,1556.4738836728711,12,17,1446.114838926588,12,19,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,2000.0
17,2,8,1,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,1341,214,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138464,136420,25063,1562281,21861,22594,32.75,-97.33,40.424,-78.434,312.2,1274.8449962365594,1286.4484196013289,1399.5416605670102,1519.4634615384616,1779.7798430493274,730.8488475429045,0,0,0,3,3,1401.0065502312582,12,19,1427.422701513106,12,22,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,190.89
18,1,7,2,1,2,0,0,1167.910096153846,53,0,0,-9999,-9999,100000.0,1128,43680,0,0,0,0,1,2,21,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,77761,61766,21662,22518,3746,3678,40.201,-77.189,26.318,-80.092,0.0,1573.1394940476162,1286.4484196013289,1399.5416605670102,1519.4634615384616,1779.7798430493274,730.8488475429045,0,0,0,5,13,1314.1808751456006,12,29,1273.2295865157516,1,3,1416.4212975796179,12,16,0,0,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137,0.0
